"Date","Price","Open","High","Low","Vol.","Change %"
"Oct 07, 2018","12,118.4","12,686.4","12,837.9","11,361.0","58.90M","-4.76%"
"Sep 30, 2018","12,724.3","12,913.6","13,027.2","12,497.0","46.90M","-1.47%"
"Sep 23, 2018","12,913.6","13,065.1","13,140.8","12,762.1","43.43M","-0.87%"
"Sep 16, 2018","13,027.2","12,762.1","13,027.2","12,459.2","47.23M","2.08%"
"Sep 09, 2018","12,762.1","12,648.5","12,837.9","11,663.9","54.27M","0.90%"
"Sep 02, 2018","12,648.5","12,809.9","12,951.5","12,250.1","47.63M","-1.76%"
"Aug 26, 2018","12,875.7","12,842.8","13,073.3","12,777.0","65.15M","0.77%"
"Aug 19, 2018","12,777.0","12,151.3","12,941.6","12,019.6","71.58M","5.44%"
"Aug 12, 2018","12,118.3","12,283.0","12,645.2","11,854.9","80.76M","-1.34%"
"Aug 05, 2018","12,283.0","11,690.3","12,381.8","11,492.7","69.14M","5.07%"
"Jul 29, 2018","11,690.3","11,756.1","12,019.6","11,426.8","58.61M","-0.28%"
"Jul 22, 2018","11,723.2","12,151.3","12,348.9","10,076.7","74.25M","-3.26%"
"Jul 15, 2018","12,118.3","11,361.0","12,118.3","11,163.4","86.63M","7.60%"
"Jul 08, 2018","11,262.2","10,867.0","11,525.6","10,208.4","69.68M","4.27%"
"Jul 01, 2018","10,801.1","11,723.2","11,723.2","9,549.8","94.64M","-7.87%"
"Jun 24, 2018","11,723.2","12,875.7","13,238.0","11,690.3","48.10M","-9.64%"
"Jun 17, 2018","12,974.5","13,633.1","13,764.9","12,151.3","63.34M","-4.60%"
"Jun 10, 2018","13,600.2","14,225.9","14,489.3","13,238.0","62.24M","-4.18%"
"Jun 03, 2018","14,193.0","13,172.1","14,357.6","13,007.5","75.38M","6.42%"
"May 27, 2018","13,336.8","13,007.5","13,567.3","10,735.3","70.91M","1.25%"
"May 20, 2018","13,172.1","14,193.0","14,258.8","13,139.2","43.48M","-6.54%"
"May 13, 2018","14,094.2","14,522.3","16,102.9","13,534.3","38.85M","-2.73%"
"May 06, 2018","14,489.3","14,390.5","15,213.8","13,666.1","56.15M","0.92%"
"Apr 29, 2018","14,357.6","14,160.0","14,555.2","13,040.4","28.22M","2.83%"
"Apr 22, 2018","13,962.4","15,938.3","16,070.0","12,052.5","72.15M","-11.85%"
"Apr 15, 2018","15,839.5","15,938.3","16,563.9","15,543.1","53.27M","-0.82%"
"Apr 08, 2018","15,971.2","16,794.4","16,992.0","15,839.5","64.10M","-4.71%"
"Apr 01, 2018","16,761.5","15,411.4","16,926.2","15,411.4","63.59M","8.99%"
"Mar 25, 2018","15,378.4","15,147.9","15,905.3","15,016.2","38.04M","1.52%"
"Mar 18, 2018","15,147.9","15,267.7","16,070.0","14,654.0","86.69M","0.40%"
"Mar 11, 2018","15,088.1","14,070.2","15,267.7","14,070.2","66.13M","7.69%"
"Mar 04, 2018","14,010.3","13,920.5","14,100.2","13,142.2","81.30M","0.65%"
"Feb 25, 2018","13,920.5","13,411.6","14,219.9","13,411.6","97.12M","4.03%"
"Feb 18, 2018","13,381.7","13,082.3","13,561.3","13,082.3","36.54M","2.29%"
"Feb 11, 2018","13,082.3","12,184.2","13,202.1","12,184.2","25.40M","9.52%"
"Feb 04, 2018","11,944.7","12,453.6","12,603.3","10,807.1","69.80M","-3.86%"
"Jan 28, 2018","12,423.7","12,573.4","12,812.9","12,184.2","85.33M","-1.43%"
"Jan 21, 2018","12,603.3","11,825.0","12,782.9","11,825.0","100.24M","6.58%"
"Jan 14, 2018","11,825.0","11,705.2","12,094.4","11,465.7","64.29M","1.02%"
"Jan 07, 2018","11,705.2","11,615.4","12,184.2","11,615.4","86.03M","0.77%"
"Dec 31, 2017","11,615.4","11,076.6","11,825.0","11,016.7","71.93M","5.15%"
"Dec 24, 2017","11,046.6","10,358.1","11,226.2","10,238.3","83.43M","6.65%"
"Dec 17, 2017","10,358.1","10,328.1","10,597.6","10,298.2","48.34M","1.17%"
"Dec 10, 2017","10,238.3","10,747.3","10,747.3","9,549.8","45.35M","-5.00%"
"Dec 03, 2017","10,777.2","10,537.7","10,956.8","10,328.1","39.15M","2.27%"
"Nov 26, 2017","10,537.7","10,208.4","10,627.5","10,118.6","36.34M","3.23%"
"Nov 19, 2017","10,208.4","9,909.0","10,417.9","9,579.7","34.74M","3.02%"
"Nov 12, 2017","9,909.0","9,609.7","9,998.8","9,460.0","39.00M","3.44%"
"Nov 05, 2017","9,579.7","8,981.0","9,669.5","8,981.0","22.79M","5.26%"
"Oct 29, 2017","9,100.7","9,609.7","9,699.5","8,771.4","35.78M","-4.70%"
"Oct 22, 2017","9,549.8","9,489.9","9,609.7","8,292.4","30.53M","0.63%"
"Oct 15, 2017","9,489.9","9,699.5","10,058.7","9,430.0","29.46M","-2.16%"
"Oct 08, 2017","9,699.5","9,370.2","9,729.4","9,280.4","32.34M","3.51%"
"Oct 01, 2017","9,370.2","9,190.5","9,400.1","8,951.1","32.99M","2.29%"
"Sep 24, 2017","9,160.6","8,741.5","9,909.0","8,681.6","31.55M","4.79%"
"Sep 17, 2017","8,741.5","8,412.2","8,771.4","8,382.3","29.35M","3.91%"
"Sep 10, 2017","8,412.2","8,382.3","8,531.9","8,202.6","25.54M","0.00%"
"Sep 03, 2017","8,412.2","8,561.9","8,741.5","8,382.3","13.78M","-1.75%"
"Aug 27, 2017","8,561.9","8,262.5","8,831.3","8,262.5","38.75M","3.62%"
"Aug 20, 2017","8,262.5","7,693.7","8,472.1","7,693.7","51.50M","7.39%"
"Aug 13, 2017","7,693.7","7,574.0","7,813.5","7,544.0","12.27M","1.18%"
"Aug 06, 2017","7,603.9","7,723.7","7,933.2","7,574.0","18.12M","-1.55%"
"Jul 30, 2017","7,723.7","7,783.5","7,933.2","7,693.7","22.88M","0.00%"
"Jul 23, 2017","7,723.7","7,484.2","7,753.6","7,304.5","12.95M","3.20%"
"Jul 16, 2017","7,484.2","7,723.7","7,723.7","7,424.3","23.60M","-3.10%"
"Jul 09, 2017","7,723.7","7,933.2","7,963.1","7,693.7","21.65M","-2.64%"
"Jul 02, 2017","7,933.2","7,783.5","8,053.0","7,783.5","31.16M","2.32%"
